run_id,research_score,total_trades,wins,losses,win_rate,profit_factor,average_rr,total_pnl,min_gap_atr,stop_buffer,require_trend
2026-07-16_025,64.18,6,3,3,0.5,4.835404879373744,0.9740453334554287,330.9984375000022,0.5,0.0,True
2026-07-16_019,64.16,6,3,3,0.5,4.672962687546651,0.9740453334554287,327.9984375000022,0.3,0.0,True
2026-07-16_027,63.53,6,3,3,0.5,4.352742287297785,0.8527407211382791,321.42880161830544,0.5,0.25,True
2026-07-16_021,63.52,6,3,3,0.5,4.250067650538931,0.8527407211382791,319.11273018973225,0.3,0.25,True
2026-07-16_029,62.97,6,3,3,0.5,3.957691662930079,0.7500855403569231,311.8591657366087,0.5,0.5,True
2026-07-16_023,62.96,6,3,3,0.5,3.8973630395567866,0.7500855403569231,310.22702287946595,0.3,0.5,True
2026-07-16_031,62.49,5,2,3,0.4,4.626261711854629,1.0725919001465223,312.94921875000364,0.7,0.0,True
2026-07-16_033,61.77,5,2,3,0.4,4.164475465372883,0.9386606234748122,303.3795828683069,0.7,0.25,True
2026-07-16_035,61.15,5,2,3,0.4,3.786511753264191,0.8245996743090593,293.80994698661016,0.7,0.5,True
2026-07-16_020,59.19,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,0.3,0.0,False
2026-07-16_022,53.64,34,14,20,0.4117647058823529,2.1380178239617695,0.7926646876225928,574.8594238281257,0.3,0.25,False
2026-07-16_024,51.91,33,14,19,0.42424242424242425,1.974269615705474,0.8738940424768329,538.5388113839399,0.3,0.5,False
2026-07-16_032,46.66,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,0.7,0.0,False
2026-07-16_034,42.17,21,6,15,0.2857142857142857,1.854991458540172,0.1975799978405087,314.6421944754511,0.7,0.25,False
2026-07-16_036,38.62,21,6,15,0.2857142857142857,1.638765996368509,0.11421941519444541,266.0859514508993,0.7,0.5,False
2026-07-16_026,35.78,29,9,20,0.3103448275862069,1.4000788475070443,0.011928005852898913,198.9992187500029,0.5,0.0,False
2026-07-16_028,33.03,29,9,20,0.3103448275862069,1.24118730437641,-0.056395318842610676,135.32417689732756,0.5,0.25,False
2026-07-16_030,31.68,28,9,19,0.32142857142857145,1.1658977808821152,-0.08031562610621,99.09195033483411,0.5,0.5,False
