run_id,strategy,symbol,start,end,research_score,min_gap_atr,total_trades,wins,losses,win_rate,profit_factor,average_rr,total_pnl,average_winner,average_loser,best_trade_pnl,worst_trade_pnl,stop_buffer,require_trend
2026-07-13_020,unicorn,nifty,2025-01-01,2025-01-02,16.22,0.5,2,1,1,0.5,0.4514858338964445,-0.1820091939079105,-26.0,21.400781249998545,-47.400781249998545,21.400781249998545,-47.400781249998545,,
2026-07-15_001,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.0,True
2026-07-16_001,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.0,True
2026-07-16_002,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.0,False
2026-07-16_003,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.25,True
2026-07-16_004,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.25,False
2026-07-16_005,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.5,True
2026-07-16_006,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.5,False
2026-07-16_007,unicorn,nifty,2025-01-01,2025-01-31,35.78,0.5,29,9,20,0.3103448275862069,1.4000788475070445,0.0119280058528989,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,0.0,True
2026-07-16_008,unicorn,nifty,2025-01-01,2025-01-31,35.78,0.5,29,9,20,0.3103448275862069,1.4000788475070445,0.0119280058528989,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,0.0,False
2026-07-16_009,unicorn,nifty,2025-01-01,2025-01-31,35.78,0.5,29,9,20,0.3103448275862069,1.4000788475070445,0.0119280058528989,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,0.25,True
2026-07-16_010,unicorn,nifty,2025-01-01,2025-01-31,35.78,0.5,29,9,20,0.3103448275862069,1.4000788475070445,0.0119280058528989,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,0.25,False
2026-07-16_011,unicorn,nifty,2025-01-01,2025-01-31,35.78,0.5,29,9,20,0.3103448275862069,1.4000788475070445,0.0119280058528989,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,0.5,True
2026-07-16_012,unicorn,nifty,2025-01-01,2025-01-31,35.78,0.5,29,9,20,0.3103448275862069,1.4000788475070445,0.0119280058528989,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,0.5,False
2026-07-16_013,unicorn,nifty,2025-01-01,2025-01-31,46.66,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.29666666666696,377.84921875000146,-47.400781249998545,0.0,True
2026-07-16_014,unicorn,nifty,2025-01-01,2025-01-31,46.66,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.29666666666696,377.84921875000146,-47.400781249998545,0.0,False
2026-07-16_015,unicorn,nifty,2025-01-01,2025-01-31,46.66,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.29666666666696,377.84921875000146,-47.400781249998545,0.25,True
2026-07-16_016,unicorn,nifty,2025-01-01,2025-01-31,46.66,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.29666666666696,377.84921875000146,-47.400781249998545,0.25,False
2026-07-16_017,unicorn,nifty,2025-01-01,2025-01-31,46.66,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.29666666666696,377.84921875000146,-47.400781249998545,0.5,True
2026-07-16_018,unicorn,nifty,2025-01-01,2025-01-31,46.66,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.29666666666696,377.84921875000146,-47.400781249998545,0.5,False
2026-07-16_019,unicorn,nifty,2025-01-01,2025-01-31,64.16,0.3,6,3,3,0.5,4.672962687546651,0.9740453334554288,327.9984375000022,139.09973958333285,-29.76692708333212,377.84921875000146,-47.400781249998545,0.0,True
2026-07-16_020,unicorn,nifty,2025-01-01,2025-01-31,59.19,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,0.0,False
2026-07-16_021,unicorn,nifty,2025-01-01,2025-01-31,63.52,0.3,6,3,3,0.5,4.250067650538931,0.8527407211382791,319.11273018973225,139.09973958333285,-32.728829520088766,377.84921875000146,-50.61683872767753,0.25,True
